IMDb Ranking,Title,Duration (Minutes),Rating,Votes,Genre,Content Rating,URL,Description,Poster
2,Reservoir Dogs,99,8.3,1130858,"Crime, Thriller",18,https://www.imdb.com/title/tt0105236/,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_.jpg
3,Pulp Fiction,154,8.9,2330768,"Crime, Drama",18,https://www.imdb.com/title/tt0110912/,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_.jpg
5,Jackie Brown,154,7.5,389331,"Crime, Drama, Thriller",15,https://www.imdb.com/title/tt0119396/,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed.",https://m.media-amazon.com/images/M/MV5BZmUxZjY3MDktNGI5NS00MTQ5LWE0YWItZWQzNmZhNjhkZDYyXkEyXkFqcGc@._V1_.jpg
6,Kill Bill: Vol. 1,111,8.2,1248931,"Action, Crime, Thriller",18,https://www.imdb.com/title/tt0266697/,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",https://m.media-amazon.com/images/M/MV5BZmMyYzJlZmYtY2I3NC00NjAyLTkyZWItZjdjZDI1YTYyYTEwXkEyXkFqcGc@._V1_.jpg
7,Kill Bill: Vol. 2,137,8.0,836763,"Action, Crime, Thriller",18,https://www.imdb.com/title/tt0378194/,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",https://m.media-amazon.com/images/M/MV5BY2FiNzhiZTctNzU1Mi00NDkwLWExNDMtZTg0MjYyNzhkNWNkXkEyXkFqcGc@._V1_.jpg
8,Death Proof,127,7.0,324170,"Drama, Thriller",18,https://www.imdb.com/title/tt1028528/,Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his &quot;death proof&quot; cars to execute his murderous plans.,https://m.media-amazon.com/images/M/MV5BYjRlOTM0OTktZTBjNi00ZjZiLWJkMzktMmU2ZDBkMTQxN2FmXkEyXkFqcGc@._V1_.jpg
9,Inglourious Basterds,153,8.4,1678741,"Adventure, Drama, War",18,https://www.imdb.com/title/tt0361748/,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.",https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_.jpg
10,Django Unchained,165,8.5,1787746,Western,18,https://www.imdb.com/title/tt1853728/,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg
11,The Hateful Eight,168,7.8,690551,"Crime, Drama, Mystery",18,https://www.imdb.com/title/tt3460252/,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_.jpg
12,Once Upon a Time... in Hollywood,161,7.6,906743,"Comedy, Drama",18,https://www.imdb.com/title/tt7131622/,"As Hollywood&apos;s Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along th...",https://m.media-amazon.com/images/M/MV5BMzMzNmViNjYtN2ViNi00NDM3LWFlMmItNDYyMGIzY2EzZjE2XkEyXkFqcGc@._V1_.jpg
