Movie,Who Died,Description,Gender
Django Unchained (2012),Ace Speck,Shot in the head by Dr. King Schultz with a revolver.,Unknown
Django Unchained (2012),Roscoe (Horse),Shot in the head by Dr. King Schultz with a revolver.,Unknown
Django Unchained (2012),Dickey Speck,Shot to death by an unnamed slave with a double-barreled shotgun.,Male
Django Unchained (2012),Sheriff Bill Sharp/Willard Peck,Shot in the stomach and then the head by Dr. King Schultz with a derringer.,Male
Django Unchained (2012),Old Man Carrucan,"Killed by Ellis Brittle, Jonathan Brittle, and Roger Brittle in an unknown manner off-screen, heavily implied. Shared kill.",Male
Django Unchained (2012),"Jonathan ""Big Jon"" Brittle",Shot in the heart by Django with a derringer.,Male
Django Unchained (2012),"Roger ""Lil' Raj"" Brittle",Beaten with a whip and then shot to death by Django with a revolver.,Unknown
Django Unchained (2012),Ellis Brittle,Shot in the chest by Dr. King Schultz with a buffalo rifle.,Male
Django Unchained (2012),Three Unnamed Klansmen,Blown up with an exploding cart trap set up by Dr. King Schultz.,Unknown
Django Unchained (2012),Three Horses,Blown up with an exploding cart trap set up by Dr. King Schultz.,Unknown
Django Unchained (2012),Spencer Gordon Bennet/Big Daddy,Shot in the chest by Django with a buffalo rifle.,Male
Django Unchained (2012),Unknown Person,"Murdered by Smitty Bacal and his gang in an unknown manner off-screen, mentioned on a wanted poster.",Unknown
Django Unchained (2012),Smitty Bacal,Shot in the chest by Django with a buffalo rifle.,Male
Django Unchained (2012),Chuck Wilson,Shot to death by Django and Dr. King Schultz with repeating rifles. Shared kill.,Male
Django Unchained (2012),Bobby Lowe,Shot to death by Django and Dr. King Schultz with repeating rifles. Shared kill.,Male
Django Unchained (2012),Unnamed Man #1,Shot to death by Django and Dr. King Schultz with repeating rifles. Shared kills.,Male
Django Unchained (2012),Unnamed Man #2,Shot to death by Django and Dr. King Schultz with repeating rifles. Shared kills.,Male
Django Unchained (2012),Unnamed Man #3,Shot to death by Django and Dr. King Schultz with repeating rifles. Shared kills.,Male
Django Unchained (2012),Luigi,"Beaten to death by Big Fred with a hammer, forced to do so by Calvin Candie. Shared kill.",Male
Django Unchained (2012),D'Artagnan,Mauled to death by dogs on the orders of Calvin Candie.,Male
Django Unchained (2012),Old Ben,"Died of unspecified natural causes off-screen several years before the events of the film, skull shown.",Male
Django Unchained (2012),Calvin J. Candie,Shot in the heart by Dr. King Schultz with a derringer.,Male
Django Unchained (2012),Dr. King Schultz,Shot in the chest by Butch Pooch with a double-barreled shotgun.,Male
Django Unchained (2012),Butch Pooch,Shot in the chest by Django with a revolver.,Male
Django Unchained (2012),Leonide Moguy,Shot in the chest by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #1,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #2,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #3,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #4,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #5,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Jessie,Accidentally shot to death by other slave masters after being shot by Django.,Female
Django Unchained (2012),Unnamed Man #1,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #2,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #3,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #4,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #5,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #6,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Royd,Shot in the stomach by Django with a revolver.,Male
Django Unchained (2012),Reno,Shot in the stomach by Django with a revolver.,Male
Django Unchained (2012),Frankie,Blown up when Django shot a stick of dynamite he was carrying with a revolver.,Male
Django Unchained (2012),Unnamed Man #1,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #2,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #3,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #4,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #5,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #6,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #7,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Mr. Stonesipher,Shot in the groin by Django with a revolver.,Male
Django Unchained (2012),Billy Crash,"Shot in the shoulder, groin, and chest by Django with a revolver.",Male
Django Unchained (2012),Unnamed Man #1,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Unnamed Man #2,Shot to death by Django with a revolver.,Male
Django Unchained (2012),Lara Lee Candie-Fitzwilly,Shot in the chest by Django with a revolver.,Female
Django Unchained (2012),Stephen,Shot in both knees and then blown up by Django with dynamite.,Male
