Movie,Who Died,Description,Gender
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
The Hateful Eight (2015),Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
