Who Died,Description,Gender
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Confederate Soldiers,"Burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Unnamed Union Soldiers ,"Accidentally burned alive in a fire started by Marquis Warren off-screen, mentioned.",Male
Betsy Smithers,"Died of an unspecified illness off-screen, mentioned.",Female
Unknown Person,"Killed by Daisy Domergue in an unknown manner off-screen, mentioned.",Unknown
Chester Charles Smithers,"Forced to walk through the snow naked, raped, and then shot off-screen by Marquis Warren, mentioned.",Male
Unnamed Former Sheriff of Red Rock,"Shot to death by Lance Lawson off-screen, mentioned.",Unknown
Oswaldo Mobray,Killed by Pete Hicox off-screen.,Male
Minnie Mink,Shot in the head by Jody Domergue.,Female
Ed,Shot in the head by Jody Domergue.,Male
Sweet Dave,Stabbed to death by Marco the Mexican.,Male
Gemma,Shot in the stomach by Pete Hicox.,Female
Six Horse Judy,Shot in the chest by Grouch Douglas.,Female
Charly,Shot in the head by Grouch Douglas.,Male
Total,58,Unknown
Unnamed Union Soldiers ,"Killed by Major Marquis Warren off-screen, bodies shown.",Male
Unnamed Union Soldiers ,"Killed by Major Marquis Warren off-screen, bodies shown.",Male
Unnamed Union Soldiers ,"Killed by Major Marquis Warren off-screen, bodies shown.",Male
Major Marquis Warren's Horse,"Died of natural causes off-screen, mentioned.",Unknown
Chris Mannix's Horse,"Accidentally broke its leg in a gopher hole off-screen and mercifully put down by Chris Mannix, mentioned.",Unknown
General Sanford Smithers,Shot in the chest by Marquis Warren.,Male
O.B.,Poisoned by Grouch Douglas.,Male
John Ruth/The Hangman,Shot in the chest by Daisy Domergue after being poisoned by Grouch Douglas.,Male
Marco the Mexican/Señor Bob,Shot in the head by Marquis Warren.,Male
Jody Domergue,Shot in the head by Marquis Warren.,Unknown
Grouch Douglas/Joe Gage,Shot in the chest by Chris Mannix and Marquis Warren.,Unknown
Pete Hicox/Oswaldo Mobray,"Shot in the chest by Chris Mannix and later in the leg by Marquis Warren, then bled to death in the background.",Male
Daisy Domergue,Hanged by both Chris Mannix and Marquis Warren with a noose.,Female
Sheriff Chris Mannix,Shot in the leg by Pete Hicox and eventually bleeds to death.,Male
Major Marquis Warren,Shot in the groin by Jody Domergue and eventually bleeds to death.,Unknown
Total,15,Unknown
Total,"73
71 Humans
65 Men
5 Women
1 Victim of Unknown Gender
2 Animals
All Horses",Unknown
Major Marquis Warren,57 (Deceased),Unknown
Sheriff Chris Mannix,4 (Deceased),Male
Grouch Douglas/Joe Gage,4 (Deceased),Unknown
Jody Domergue,3 (Deceased),Unknown
Pete Hicox/Oswaldo Mobray,3 (Deceased),Male
Daisy Domergue,2 (Deceased),Female
Lance Lawson,1 (Unknown),Unknown
Marco the Mexican/Señor Bob,1 (Deceased),Male
