Movie,Year,Character,Gender,Kills,Fate
Inglourious Basterds,2009,Staff Sergeant Donny Donowitz/The Bear Jew,Male,259,Deceased
Inglourious Basterds,2009,Private First Class Omar Ulmer,Male,258,Deceased
Inglourious Basterds,2009,First Lieutenant Aldo Raine/The Apache,Male,257,Alive
Inglourious Basterds,2009,Private First Class Gerold Hirschberg,Male,256,Alive
Inglourious Basterds,2009,Private First Class Michael Zimmerman,Male,256,Alive
Inglourious Basterds,2009,Private First Class Simon Sakowitz,Male,256,Alive
Inglourious Basterds,2009,Private First Class Smithson Utivich,Male,256,Alive
Inglourious Basterds,2009,Senior Private Fredrick Zoller,Male,251,Deceased
Inglourious Basterds,2009,Bridget von Hammersmark,Female,238,Deceased
Inglourious Basterds,2009,Shosanna Dreyfus,Female,236,Deceased
Inglourious Basterds,2009,Marcel,Male,234,Possibly Deceased
Inglourious Basterds,2009,Technical Sergeant Hugo Stiglitz,Male,33,Deceased
Inglourious Basterds,2009,Corporal Wilhelm Wicki,Male,19,Deceased
Inglourious Basterds,2009,"Lieutenant Archibald ""Archie"" Hicox",Male,18,Deceased
Inglourious Basterds,2009,Colonel Hans Landa/The Jew Hunter,Male,5,Alive
Inglourious Basterds,2009,Nazi Sergeant Wilhelm,Male,3,Deceased
Inglourious Basterds,2009,Eric,Male,1,Deceased
Inglourious Basterds,2009,Major Dieter Hellstrom,Male,1,Deceased
