Movie,Who Died,Description,Gender
Kill Bill: Volume 1 (2003),"Thomas ""Tommy"" Plympton","Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Male
Kill Bill: Volume 1 (2003),Rufus,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Male
Kill Bill: Volume 1 (2003),Reverend Harmony,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Male
Kill Bill: Volume 1 (2003),Mrs. Harmony,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Female
Kill Bill: Volume 1 (2003),Erica,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Female
Kill Bill: Volume 1 (2003),Joleen,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Female
Kill Bill: Volume 1 (2003),Janeen,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Female
Kill Bill: Volume 1 (2003),Unnamed Man,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Male
Kill Bill: Volume 1 (2003),Jasper,Tongue bitten off by Beatrix Kiddo.,Male
Kill Bill: Volume 1 (2003),Buck,"Head bashed repeatedly by Beatrix Kiddo with a metal door, crushing his skull.",Male
Kill Bill: Volume 1 (2003),Boss Matsumoto's Guard,"Head smashed against a wall and part of his face ripped off by O-Ren Ishii's Father, shown in a flashback.",Male
Kill Bill: Volume 1 (2003),O-Ren Ishii's Father,"Impaled and stabbed in the temple by one of Boss Matsumoto's guards with a katana, shown in a flashback.",Male
Kill Bill: Volume 1 (2003),O-Ren Ishii's Mother,"Impaled by Boss Matsumoto with a katana off-camera, blood shown in a flashback.",Female
Kill Bill: Volume 1 (2003),Boss Matsumoto,"Stomach slashed open by O-Ren Ishii with a katana, shown in a flashback.",Male
Kill Bill: Volume 1 (2003),Boss Matsumoto's Guard #1,"Shot through the legs and head by O-Ren Ishii, shown in a flashback.",Unknown
Kill Bill: Volume 1 (2003),Boss Matsumoto's Guard #2,"Shot through the legs and head by O-Ren Ishii, shown in a flashback.",Unknown
Kill Bill: Volume 1 (2003),Unnamed President of Panama,"Shot through the skull by O-Ren Ishii with a sniper rifle, shown in a flashback.",Male
Kill Bill: Volume 1 (2003),Unnamed Man,Disemboweled by Gogo Yubari with a katana.,Male
Kill Bill: Volume 1 (2003),Boss Tanaka,Decapitated by O-Ren Ishii with a katana.,Male
Kill Bill: Volume 1 (2003),Miki,Stabbed in the stomach with a katana by Beatrix Kiddo.,Male
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #1,Chest slashed open by Beatrix Kiddo.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #2,Chest slashed open by Beatrix Kiddo.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #3,Chest slashed open by Beatrix Kiddo.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #4,Chest slashed open by Beatrix Kiddo.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #5,Chest slashed open by Beatrix Kiddo.,Unknown
Kill Bill: Volume 1 (2003),Gogo Yubari,Rammed in the side of the head by Beatrix Kiddo with a broken table leg with nails in it.,Female
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #1,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #2,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #3,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #4,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #5,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #6,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #7,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #8,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #9,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #10,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #11,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #12,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #13,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Eyeball ripped out by Beatrix Kiddo.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Face sliced by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Arm cut off by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Stabbed in the stomach by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Accidentally stabbed in the chest by an axe thrown by another Crazy 88 member.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Stabbed in the head by an axe thrown by Beatrix Kiddo.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #1,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #2,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #3,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #4,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #5,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #6,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of The Crazy 88 #7,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Decapitated by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Mouth sliced open by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Vertically cut in half by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88,Throat cut by Beatrix Kiddo with a katana.,Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #1,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #2,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #3,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #4,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #5,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #6,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #7,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #8,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #9,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #10,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #11,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #12,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #13,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #14,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #15,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #16,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #17,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #18,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #19,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #20,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #21,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #22,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #23,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #24,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #25,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #26,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
