Movie,Who Died,Description,Gender
Pulp Fiction (1994),"Roger ""Flock of Seagulls""",Shot in the chest by Jules Winnfield.,Male
Pulp Fiction (1994),Brett,Shot to death by Jules Winnfield and Vincent Vega. Shared kill.,Male
Pulp Fiction (1994),Unnamed Man,Shot to death by Jules Winnfield and Vincent Vega. Shared kill.,Male
Pulp Fiction (1994),Marvin,Accidentally shot in the face by Vincent Vega.,Male
Pulp Fiction (1994),Conrad,"Died of unspecified causes off-screen, mentioned.",Male
Pulp Fiction (1994),Ginny,"Died of unspecified causes off-screen, mentioned.",Female
Pulp Fiction (1994),Mia Wallace,Died of a heroin overdose. Revived later by Vincent Vega with a syringe of adrenaline to her heart.,Female
Pulp Fiction (1994),Butch Coolidge's Father,"Died of unknown causes off-screen during the Vietnam War, mentioned.",Male
Pulp Fiction (1994),Dane Coolidge,"Died of unknown causes off-screen during World War 2, mentioned.",Male
Pulp Fiction (1994),Floyd Wilson,Accidentally beaten to death by Butch Coolidge during a boxing match.,Male
Pulp Fiction (1994),Vincent Vega,Shot to death by Butch Coolidge.,Male
Pulp Fiction (1994),Unnamed Woman,Shot to death by Marsellus Wallace.,Female
Pulp Fiction (1994),"""The Gimp""",Hanged with a chain holding him to the ceiling after being knocked unconscious by Butch Coolidge.,Male
Pulp Fiction (1994),Maynard,Slashed across the chest and then stabbed in the stomach by Butch Coolidge with a katana.,Male
Pulp Fiction (1994),"Zedekiah ""Zed""",Shot in the groin and then tortured to death by Marsellus Wallace and his men off-screen.,Male
