Who Died,Description,Gender
Unnamed Clerk #1,"Shot by Vic Vega/Mr. Blonde off-screen, mentioned.",Male
Unnamed Clerk #2,"Shot by Vic Vega/Mr. Blonde off-screen, mentioned.",Male
Unnamed Clerk #3,"Shot by Vic Vega/Mr. Blonde off-screen, mentioned.",Male
Unnamed Clerk #4,"Shot by Vic Vega/Mr. Blonde off-screen, mentioned.",Male
Unnamed Woman,"Shot by Vic Vega/Mr. Blonde off-screen, mentioned.",Female
"""Mr. Blue""","Shot to death by unknown police officers off-screen, mentioned.",Male
"""Mr. Brown""","Died of his injuries after being shot in the head by an unknown police officer off-screen, shown in a flashback.",Male
Unnamed Police Officer #1,"Shot twelve times in the chest by Larry Dimmick/Mr. White, shown in a flashback.",Male
Unnamed Police Officer #2,"Shot twelve times in the chest by Larry Dimmick/Mr. White, shown in a flashback.",Male
Unnamed Woman,"Shot in the chest by Officer Freddy Newandyke/Mr. Orange, shown in a flashback.",Female
Unnamed Police Officer,"Shot in the chest by Mr. Pink, shown in a flashback.",Male
"Victor ""Vic"" Vega/Mr. Blonde",Shot eleven times in the chest by Officer Freddy Newandyke/Mr. Orange.,Male
Officer Marvin Nash,Shot three times in the chest by Nice Guy Eddie Cabot after having his ear cut off by Vic Vega/Mr. Blonde with a straight razor. Shared kill.,Male
"Joseph ""Joe"" Cabot",Shot to death by Larry Dimmick/Mr. White.,Male
"Edward ""Nice Guy Eddie"" Cabot",Shot to death by Larry Dimmick/Mr. White.,Male
"Officer Frederick ""Freddy"" Newandyke/Mr. Orange",Shot in the head by Larry Dimmick/Mr. White off-camera after being shot in the stomach by an unnamed woman.,Male
"Lawrence ""Larry"" Dimmick/Mr. White",Shot to death by several unnamed police officers off-camera.,Male
Total,"17
11 Men
4 Victims of Unknown Gender
2 Women",Unknown
"Victor ""Vic"" Vega/Mr. Blonde",6 (Deceased),Male
"Lawrence ""Larry"" Dimmick/Mr. White",5 (Deceased),Male
"Officer Frederick ""Freddy"" Newandyke/Mr. Orange",2 (Deceased),Male
"""Mr. Pink""",1 (Alive),Male
"Edward ""Nice Guy Eddie"" Cabot",1 (Deceased),Male
