Movie,Year,Character,Gender,Kills,Fate
Inglourious Basterds,2009,Staff Sergeant Donny Donowitz/The Bear Jew,Male,259,Deceased
Inglourious Basterds,2009,Private First Class Omar Ulmer,Male,258,Deceased
Inglourious Basterds,2009,First Lieutenant Aldo Raine/The Apache,Male,257,Alive
Inglourious Basterds,2009,Private First Class Smithson Utivich,Male,256,Alive
Inglourious Basterds,2009,Private First Class Simon Sakowitz,Male,256,Alive
Inglourious Basterds,2009,Private First Class Michael Zimmerman,Male,256,Alive
Inglourious Basterds,2009,Private First Class Gerold Hirschberg,Male,256,Alive
Inglourious Basterds,2009,Senior Private Fredrick Zoller,Male,251,Deceased
Inglourious Basterds,2009,Bridget von Hammersmark,Female,238,Deceased
Inglourious Basterds,2009,Shosanna Dreyfus,Female,236,Deceased
Inglourious Basterds,2009,Marcel,Male,234,Possibly Deceased
Kill Bill Vol. 1 and Vol.2,2003,Beatrix Kiddo/The Bride/Black Mamba,Female,81,Alive
The Hateful Eight,2015,Major Marquis Warren,Male,57,Deceased
Django Unchained,2012,Django Freeman,Male,41,Alive
Inglourious Basterds,2009,Technical Sergeant Hugo Stiglitz,Male,33,Deceased
Inglourious Basterds,2009,Corporal Wilhelm Wicki,Male,19,Deceased
Inglourious Basterds,2009,"Lieutenant Archibald ""Archie"" Hicox",Male,18,Deceased
Django Unchained,2012,Dr. King Schultz,Male,16,Deceased
Kill Bill Vol. 1 and Vol.2,2003,O-Ren Ishii/Cottonmouth,Female,15,Deceased
Kill Bill Vol. 1 and Vol.2,2003,Elle Driver/California Mountain Snake,Female,10,Possibly Deceased
